entity_relevance,entity_sentiment,entity_ticker,harvested_at,story_id
100.0,-83.5,BWLD,2017-12-06T01:12:27.139Z,5a2743efa656f256ae6b0f60
100.0,-83.5,BWLD,2017-12-06T01:12:27.139Z,5a2743efa656f256ae6b0f60
100.0,-83.5,BWLD,2017-12-06T01:12:27.139Z,5a2743efa656f256ae6b0f60
100.0,-83.5,BWLD,2017-12-06T01:12:27.139Z,5a2743efa656f256ae6b0f60
100.0,-83.5,BWLD,2017-12-06T01:12:27.139Z,5a2743efa656f256ae6b0f60
100.0,-83.5,BWLD,2017-12-06T01:12:27.139Z,5a2743efa656f256ae6b0f60
100.0,46.2,SBUX,2017-12-06T01:07:35.603Z,5a2742c3a656f228d96b0f99
100.0,46.2,SBUX,2017-12-06T01:07:35.603Z,5a2742c3a656f228d96b0f99
30.0,21.7,YUM,2017-12-06T01:07:31.577Z,5a2742c3a656f228d96b0f56
100.0,0.6,SBUX,2017-12-06T01:05:58.426Z,5a274269a656f21bae6b0f8c
30.0,53.9,YUM,2017-12-06T01:04:26.264Z,5a27420ea656f20d076b0f75
30.0,53.9,YUM,2017-12-06T01:04:26.264Z,5a27420ea656f20d076b0f75
30.0,53.9,YUM,2017-12-06T01:04:26.264Z,5a27420ea656f20d076b0f75
30.0,53.9,YUM,2017-12-06T01:04:26.264Z,5a27420ea656f20d076b0f75
100.0,41.1,SBUX,2017-12-06T01:04:26.264Z,5a27420ea656f20d076b0f75
100.0,41.1,SBUX,2017-12-06T01:04:26.264Z,5a27420ea656f20d076b0f75
100.0,46.2,SBUX,2017-12-06T01:03:27.144Z,5a2741d2a656f2059d6b0f7a
100.0,46.2,SBUX,2017-12-06T01:03:27.144Z,5a2741d2a656f2059d6b0f7a
100.0,83.3,SBUX,2017-12-06T01:03:23.124Z,5a2741d2a656f205a06b0f6a
100.0,83.3,SBUX,2017-12-06T01:03:23.124Z,5a2741d2a656f205a06b0f6a
100.0,79.2,SBUX,2017-12-06T01:02:20.970Z,5a274195a656f279c86b0f4b
100.0,79.2,SBUX,2017-12-06T01:02:20.970Z,5a274195a656f279c86b0f4b
100.0,79.2,SBUX,2017-12-06T01:02:20.970Z,5a274195a656f279c86b0f4b
100.0,79.2,SBUX,2017-12-06T01:02:20.970Z,5a274195a656f279c86b0f4b
100.0,79.2,SBUX,2017-12-06T01:02:20.970Z,5a274195a656f279c86b0f4b
100.0,79.2,SBUX,2017-12-06T01:02:20.970Z,5a274195a656f279c86b0f4b
100.0,87.5,BWLD,2017-12-06T01:01:53.918Z,5a274179a656f275196b0f4a
100.0,87.5,BWLD,2017-12-06T01:01:53.918Z,5a274179a656f275196b0f4a
100.0,11.8,CMG,2017-12-06T01:01:53.917Z,5a274179a656f275196b0f52
100.0,11.8,CMG,2017-12-06T01:01:53.917Z,5a274179a656f275196b0f52
100.0,87.0,SBUX,2017-12-06T00:59:59.508Z,5a2740ffa656f262da6b0f4d
100.0,19.4,CMG,2017-12-06T00:50:24.666Z,5a273ec5a656f20dcc6b0f8f
100.0,19.4,CMG,2017-12-06T00:50:24.666Z,5a273ec5a656f20dcc6b0f8f
100.0,46.2,SBUX,2017-12-06T00:44:36.100Z,5a273d5da656f256076b0fd4
100.0,46.2,SBUX,2017-12-06T00:44:36.100Z,5a273d5da656f256076b0fd4
100.0,-8.3,SBUX,2017-12-06T00:42:23.803Z,5a273ce5a656f244c56b0f7e
100.0,-8.3,SBUX,2017-12-06T00:42:23.803Z,5a273ce5a656f244c56b0f7e
30.0,37.5,SBUX,2017-12-06T00:40:56.626Z,5a273c8aa656f234d56b0fa2
100.0,-24.9,SBUX,2017-12-06T00:40:54.615Z,5a273c8aa656f234d56b0f84
100.0,-24.9,SBUX,2017-12-06T00:40:54.615Z,5a273c8aa656f234d56b0f84
100.0,46.2,SBUX,2017-12-06T00:40:52.608Z,5a273c8aa656f234d56b0f66
100.0,46.2,SBUX,2017-12-06T00:40:52.608Z,5a273c8aa656f234d56b0f66
100.0,,SBUX,2017-12-06T00:38:52.411Z,5a273c13a656f223446b0f4e
